Ones,Input,Normalized
1,-1,0.010416667
1,-0.975308642,0.052083333
1,-0.950617284,0.05
1,-0.925925926,0.072916667
1,-0.901234568,0.022916667
1,-0.87654321,0.045833333
1,-0.851851852,0.0375
1,-0.827160494,0.08125
1,-0.802469136,0.039583333
1,-0.777777778,0.0625
1,-0.75308642,0.025
1,-0.728395062,0.05
1,-0.703703704,0.035416667
1,-0.679012346,0.041666667
1,-0.654320988,0.04375
1,-0.62962963,0.072916667
1,-0.604938272,0.089583333
1,-0.580246914,0.054166667
1,-0.555555556,0.095833333
1,-0.530864198,0.10625
1,-0.50617284,0.152083333
1,-0.481481481,0.15
1,-0.456790123,0.15625
1,-0.432098765,0.241666667
1,-0.407407407,0.18125
1,-0.382716049,0.19375
1,-0.358024691,0.191666667
1,-0.333333333,0.191666667
1,-0.308641975,0.28125
1,-0.283950617,0.227083333
1,-0.259259259,0.204166667
1,-0.234567901,0.191666667
1,-0.209876543,0.216666667
1,-0.185185185,0.2625
1,-0.160493827,0.24375
1,-0.135802469,0.222916667
1,-0.111111111,0.252083333
1,-0.086419753,0.34375
1,-0.061728395,0.5125
1,-0.037037037,0.764583333
1,-0.012345679,0.625
1,0.012345679,0.966666667
1,0.037037037,0.739583333
1,0.061728395,0.822916667
1,0.086419753,1
1,0.111111111,0.889583333
1,0.135802469,0.695833333
1,0.160493827,0.63125
1,0.185185185,0.552083333
1,0.209876543,0
1,0.234567901,0
1,0.259259259,0.872916667
1,0.283950617,0.008333333
1,0.308641975,0.08125
1,0.333333333,0.108333333
1,0.358024691,0.060416667
1,0.382716049,0.072916667
1,0.407407407,0.05
1,0.432098765,0.077083333
1,0.456790123,0.066666667
1,0.481481481,0.052083333
1,0.50617284,0.070833333
1,0.530864198,0.060416667
1,0.555555556,0.0625
1,0.580246914,0.110416667
1,0.604938272,0.1125
1,0.62962963,0.08125
1,0.654320988,0.1
1,0.679012346,0.15625
1,0.703703704,0.154166667
1,0.728395062,0.152083333
1,0.75308642,0.085416667
1,0.777777778,0.260416667
1,0.802469136,0.3
1,0.827160494,0.302083333
1,0.851851852,0.408333333
1,0.87654321,0.545833333
1,0.901234568,0.166666667
1,0.925925926,0.36875
1,0.950617284,0.4375
1,0.975308642,0.304166667
1,1,0.43125
